day;evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
22/04/2019;0;59,43166667;0,032000005;-9,279;-1,1735;-0,537833333;0,014750001;0,803;-0,0895;-36,656;-0,488;33,315;0,1125;-17,92828571;-0,03128571;-0,497285714;-0,008785714;-33,978;-0,1385;19,572;-0,017;-3,198;-0,434;-23,066;0,163;10,062;0,4335;266,921;0,655;135,863;0,674;37,511;0,299;60,58666667;0,083000005;19,71566667;0,086000005;-4,399958333;0,035187501;-8,67525;0,019875
23/04/2019;0;59,453;0,032;-9,289;-0,5865;-0,528;0,01475;0,849;-0,0205;-36,448;-0,0225;33,344;0,071;-17,94914286;-0,03128572;-0,503142857;-0,008785715;-34,016;-0,08;20,157;0,562;-3,535;-0,5055;-23,301;-0,094;10,545;0,64;267,29;0,618;136,153;0,569;37,458;0,1055;60,642;0,083;19,773;0,086;-4,3765;0,0351875;-8,662;0,019875
24/04/2019;0;59,47433333;0,031999995;-9,18;0,104;-0,518166667;0,01475;0,868;0,042;-36,472;0,08;33,347;0,0175;-17,97;-0,031285715;-0,509;-0,008785714;-34,019;-0,022;20,251;0,3865;-3,523;-0,1565;-23,482;-0,2985;10,846;0,5425;267,501;0,3955;136,411;0,403;37,506;0,0215;60,69733333;0,082999995;19,83033333;0,085999995;-4,353041667;0,0351875;-8,64875;0,019875
25/04/2019;0;59,49566667;0,032000005;-9,155;0,0795;-0,508333333;0,014750001;1,227;0,3685;-36,155;0,305;33,442;0,0965;-18,173;-0,21342857;-0,662;-0,155928572;-34,072;-0,0545;20,346;0,142;-3,459;0,07;-23,278;0,1135;11,18;0,4845;267,795;0,3995;136,612;0,33;37,478;-0,004;60,75266667;0,083000005;19,88766667;0,086000005;-4,329583333;0,0351875;-8,6355;0,019875
26/04/2019;0;59,517;0,032;-8,749;0,4185;-0,4985;0,01475;1,216;0,1685;-35,983;0,3305;33,429;0,0345;-18,387;-0,3155;-0,839;-0,2535;-34,13;-0,0845;20,357;0,0585;-3,069;0,422;-22,994;0,386;11,453;0,44;267,617;-0,031;136,331;-0,1805;37,622;0,13;60,808;0,083;19,945;0,086;-4,306125;0,0351875;-8,62225;0,019875
27/04/2019;0;59,53833333;0,031999995;-8,788;0,164;-0,488666667;0,01475;1,31;0,0885;-35,886;0,183;33,547;0,1115;-18,446;-0,166;-0,915;-0,1645;-33,992;0,109;21,2;0,8485;-3,176;0,088;-23,02;0,116;11,509;0,1925;267,904;0,198;136,339;-0,1325;37,563;0,013;60,86333333;0,082999995;20,00233333;0,085999995;-4,282666667;0,0351875;-8,609;0,019875
28/04/2019;0;59,55966667;0,032000005;-8,673;0,0955;-0,478833333;0,014750001;1,395;0,132;-35,842;0,0925;33,527;0,039;-18,529;-0,1125;-1,182;-0,305;-33,905;0,156;22,159;1,3805;-3,057;0,0655;-22,945;0,062;11,5;0,019;267,879;0,1185;136,068;-0,267;37,624;0,0315;60,91866667;0,083000005;20,05966667;0,086000005;-4,259208333;0,0351875;-8,59575;0,019875
29/04/2019;1;59,581;0,032;-8,843;-0,1125;-0,469;0,01475;1,546;0,1935;-35,585;0,279;33,588;0,051;-18,405;0,0825;-1,313;-0,2645;-33,787;0,1615;23,439;1,7595;-3,48;-0,3635;-23,18;-0,1975;11,785;0,2805;268,064;0,1725;136,022;-0,1815;37,185;-0,4085;60,974;0,083;20,117;0,086;-4,23575;0,0351875;-8,5825;0,019875
30/04/2019;1;59,60233333;0,031999995;-8,699;0,059;-0,459166667;0,01475;1,723;0,2525;-35,42;0,2935;33,573;0,0155;-18,355;0,112;-1,194;0,0535;-33,729;0,117;24,199;1,4;-3,348;-0,0795;-23,18;-0,1175;11,746;0,1035;268,085;0,1135;136,104;0,059;37,117;-0,2875;61,02933333;0,082999995;20,17433333;0,085999995;-4,212291667;0,0351875;-8,56925;0,019875
01/05/2019;1;59,62366667;0,032000005;-8,732;0,039;-0,449333333;0,014750001;1,658;0,0235;-35,187;0,3155;33,495;-0,0855;-18,367;0,013;-1,185;0,0685;-33,832;-0,074;24,694;0,875;-3,304;0,11;-22,961;0,219;11,424;-0,3415;267,878;-0,1965;136,071;0,008;37,184;0,033;61,08466667;0,083000005;20,23166667;0,086000005;-4,188833333;0,035187501;-8,556;0,019875
