day;evento;tipo_evento;edam_ecne_eplu;edam_ecne_eplu_diff;edam_ecor_emcn;edam_ecor_emcn_diff;edam_emsg_eplu;edam_emsg_eplu_diff;edam_epdn_ecne;edam_epdn_ecne_diff;edam_epdn_emcn;edam_epdn_emcn_diff;eint_ecpn_emgl;eint_ecpn_emgl_diff;eint_esln_emgl;eint_esln_emgl_diff;eint_esln_espc;eint_esln_espc_diff;emeg_ecpn_emgl;emeg_ecpn_emgl_diff;emfn_ecor_ecri;emfn_ecor_ecri_diff;emfn_ecor_emcn;emfn_ecor_emcn_diff;emfn_emcn_epdn;emfn_emcn_epdn_diff;epdn_ecne_ecpn;epdn_ecne_ecpn_diff;epdn_eint_ecpn;epdn_eint_ecpn_diff;epdn_eint_espc;epdn_eint_espc_diff;epdn_emfn_espc;epdn_emfn_espc_diff;eplu_ecne_ecpn;eplu_ecne_ecpn_diff;eplu_emeg_ecpn;eplu_emeg_ecpn_diff;eplu_emeg_emal;eplu_emeg_emal_diff;eplu_emsg_emal;eplu_emsg_emal_diff
26/04/2019;0;;59,517;0,04266667;-8,749;0,431;-0,4985;0,019666667;1,216;0,348;-35,983;0,489;33,429;0,082;-18,387;-0,417;-0,839;-0,33;-34,13;-0,111;20,357;0,106;-3,069;0,454;-22,994;0,488;11,453;0,607;267,617;0,116;136,331;-0,08;37,622;0,116;60,808;0,11066667;19,945;0,11466667;-4,306125;0,046916667;-8,62225;0,0265
27/04/2019;0;;59,53833333;0,04266666;-8,788;0,367;-0,488666667;0,019666666;1,31;0,083;-35,886;0,269;33,547;0,105;-18,446;-0,273;-0,915;-0,253;-33,992;0,08;21,2;0,854;-3,176;0,283;-23,02;0,258;11,509;0,329;267,904;0,109;136,339;-0,273;37,563;0,085;60,86333333;0,11066666;20,00233333;0,11466666;-4,282666667;0,046916666;-8,609;0,0265
28/04/2019;1;;59,55966667;0,04266667;-8,673;0,076;-0,478833333;0,019666667;1,395;0,179;-35,842;0,141;33,527;0,098;-18,529;-0,142;-1,182;-0,343;-33,905;0,225;22,159;1,802;-3,057;0,012;-22,945;0,049;11,5;0,047;267,879;0,262;136,068;-0,263;37,624;0,002;60,91866667;0,11066667;20,05966667;0,11466667;-4,259208333;0,046916667;-8,59575;0,0265
29/04/2019;2;EA;59,581;0,04266667;-8,843;-0,055;-0,469;0,019666667;1,546;0,236;-35,585;0,301;33,588;0,041;-18,405;0,041;-1,313;-0,398;-33,787;0,205;23,439;2,239;-3,48;-0,304;-23,18;-0,16;11,785;0,276;268,064;0,16;136,022;-0,317;37,185;-0,378;60,974;0,11066667;20,117;0,11466667;-4,23575;0,046916667;-8,5825;0,0265
30/04/2019;2;EA;59,60233333;0,04266666;-8,699;-0,026;-0,459166667;0,019666666;1,723;0,328;-35,42;0,422;33,573;0,046;-18,355;0,174;-1,194;-0,012;-33,729;0,176;24,199;2,04;-3,348;-0,291;-23,18;-0,235;11,746;0,246;268,085;0,206;136,104;0,036;37,117;-0,507;61,02933333;0,11066666;20,17433333;0,11466666;-4,212291667;0,046916666;-8,56925;0,0265
01/05/2019;2;EA;59,62366667;0,04266667;-8,732;0,111;-0,449333333;0,019666667;1,658;0,112;-35,187;0,398;33,495;-0,093;-18,367;0,038;-1,185;0,128;-33,832;-0,045;24,694;1,255;-3,304;0,176;-22,961;0,219;11,424;-0,361;267,878;-0,186;136,071;0,049;37,184;-0,001;61,08466667;0,11066667;20,23166667;0,11466667;-4,188833333;0,046916667;-8,556;0,0265
02/05/2019;2;EA;59,645;0,04266667;-8,696;0,003;-0,4395;0,019666667;1,602;-0,121;-34,962;0,458;33,417;-0,156;-18,516;-0,161;-1,186;0,008;-33,804;-0,075;25,079;0,88;-3,262;0,086;-22,792;0,388;11,227;-0,519;267,66;-0,425;136,179;0,075;37,287;0,17;61,14;0,11066667;20,289;0,11466667;-4,165375;0,046916667;-8,54275;0,0265
03/05/2019;2;EA;59,66633333;0,04266666;-8,737;-0,005;-0,429666667;0,019666666;1,775;0,117;-35,949;-0,762;33,599;0,104;-18,568;-0,201;-1,271;-0,086;-33,791;0,041;25,993;1,299;-3,412;-0,108;-23,821;-0,86;11,357;-0,067;268,182;0,304;136,367;0,296;36,655;-0,529;61,19533333;0,11066666;20,34633333;0,11466666;-4,141916667;0,046916666;-8,5295;0,0265
04/05/2019;2;EA;59,68766667;0,04266667;-8,705;-0,009;-0,419833333;0,019666667;2,082;0,48;-36,51;-1,548;33,728;0,311;-18,515;0,001;-1,268;-0,082;-33,792;0,012;26,945;1,866;-3,493;-0,231;-24,277;-1,485;11,774;0,547;268,603;0,943;136,557;0,378;36,639;-0,648;61,25066667;0,11066667;20,40366667;0,11466667;-4,118458333;0,046916667;-8,51625;0,0265
05/05/2019;2;EA;59,709;0,04266667;-8,636;0,101;-0,41;0,019666667;2,607;0,832;-35,632;0,317;33,924;0,325;-18,398;0,17;-1,201;0,07;-33,651;0,14;26,722;0,729;-3,54;-0,128;-23,789;0,032;11,602;0,245;268,813;0,631;136,644;0,277;36,49;-0,165;61,306;0,11066667;20,461;0,11466667;-4,095;0,046916667;-8,503;0,0265
22/05/2019;0;;79,9385;-0,2758;-9,619;0,913;1,0315;-0,009;2,349;-0,47;-32,97;-1,27;34,614;-0,215;-17,905;0,281;-1,177;0,206;-32,091;-0,093;27,017;0,633;-4,678;1,321;-21,996;-0,165;12,371;0,128;268,905;-0,396;136,882;-0,019;37,689;0,58;84,6665;-0,3018;19,90125;0,0181;-6,27525;0,0503;-10,8405;0,037
23/05/2019;0;;79,8006;-0,2758;-9,417;0,7;1,027;-0,009;2,107;-0,503;-33,008;-1,056;34,584;-0,144;-17,81;0,248;-1,372;-0,149;-32,185;-0,123;26,856;0,076;-4,257;1,192;-21,792;-0,077;12,44;0,116;268,914;-0,184;136,406;-0,579;38,011;0,467;84,5156;-0,3018;19,9103;0,0181;-6,2501;0,0503;-10,822;0,037
24/05/2019;0;;79,6627;-0,2758;-9,003;0,616;1,0225;-0,009;1,918;-0,431;-33,273;-0,303;34,408;-0,206;-17,633;0,272;-0,999;0,178;-32,091;0;26,876;-0,141;-3,758;0,92;-21,765;0,231;12,433;0,062;268,551;-0,354;136,694;-0,188;38,198;0,509;84,3647;-0,3018;19,91935;0,0181;-6,22495;0,0503;-10,8035;0,037
25/05/2019;0;;79,5248;-0,2758;-8,769;0,648;1,018;-0,009;1,586;-0,521;-33,885;-0,877;34,459;-0,125;-17,489;0,321;-0,865;0,507;-32,244;-0,059;26,838;-0,018;-3,445;0,812;-22,188;-0,396;12,642;0,202;268,493;-0,421;136,714;0,308;38,066;0,055;84,2138;-0,3018;19,9284;0,0181;-6,1998;0,0503;-10,785;0,037
26/05/2019;0;;79,3869;-0,2758;-9,584;-0,581;1,0135;-0,009;1,478;-0,44;-34,572;-1,299;34,476;0,068;-17,483;0,15;-0,622;0,377;-32,404;-0,313;27,001;0,125;-3,193;0,565;-21,616;0,149;12,722;0,289;268,53;-0,021;137,154;0,46;38,319;0,121;84,0629;-0,3018;19,93745;0,0181;-6,17465;0,0503;-10,7665;0,037
27/05/2019;0;;79,249;-0,2758;-8,767;0,002;1,009;-0,009;0,438;-1,148;-36,359;-2,474;34,651;0,192;-17,451;0,038;-0,701;0,164;-32,317;-0,073;27,731;0,893;-1,864;1,581;-22,435;-0,247;12,272;-0,37;268,456;-0,037;137,09;0,376;38,072;0,006;83,912;-0,3018;19,9465;0,0181;-6,1495;0,0503;-10,748;0,037
28/05/2019;0;;79,1111;-0,2758;-8,634;0,95;1,0045;-0,009;0,313;-1,165;-36,648;-2,076;34,642;0,166;-17,508;-0,025;-1,098;-0,476;-32,128;0,276;28,338;1,337;-1,583;1,61;-22,272;-0,656;12,304;-0,418;268,323;-0,207;136,791;-0,363;38,347;0,028;83,7611;-0,3018;19,95555;0,0181;-6,12435;0,0503;-10,7295;0,037
29/05/2019;1;;78,9732;-0,2758;-8,7715;-0,0045;1;-0,009;0,4125;-0,0255;-36,3805;-0,0215;34,92;0,269;-17,251;0,2;-1,083;-0,382;-31,992;0,325;27,991;0,26;-3,49;-1,626;-23,35;-0,915;13,237;0,965;269,047;0,591;137,051;-0,039;37,139;-0,933;83,6102;-0,3018;19,9646;0,0181;-6,0992;0,0503;-10,711;0,037
30/05/2019;2;EA;78,8353;-0,2758;-8,909;-0,275;0,9955;-0,009;0,512;0,199;-36,113;0,535;34,53;-0,112;-17,404;0,104;-1,033;0,065;-32,419;-0,291;28,754;0,416;-3,756;-2,173;-23,146;-0,874;12,865;0,561;269,176;0,853;136,739;-0,052;36,947;-1,4;83,4593;-0,3018;19,97365;0,0181;-6,07405;0,0503;-10,6925;0,037
31/05/2019;2;EA;78,6974;-0,2758;-8,833;-0,0615;0,991;-0,009;0,37;-0,0425;-35,568;0,8125;33,875;-1,045;-17,74;-0,489;-0,887;0,196;-32,889;-0,897;28,252;0,261;-3,716;-0,226;-22,826;0,524;11,908;-1,329;268,444;-0,603;136,445;-0,606;36,98;-0,159;83,3084;-0,3018;19,9827;0,0181;-6,0489;0,0503;-10,674;0,037
01/06/2019;2;EA;78,5595;-0,2758;-8,687;0,222;0,9865;-0,009;0,424;-0,088;-35,618;0,495;33,522;-1,008;-18,376;-0,972;-1,241;-0,208;-33,2;-0,781;27,954;-0,8;-3,483;0,273;-22,83;0,316;11,152;-1,713;267,943;-1,233;136,179;-0,56;36,918;-0,029;83,1575;-0,3018;19,99175;0,0181;-6,02375;0,0503;-10,6555;0,037
02/06/2019;2;EA;78,4216;-0,2758;-8,444;0,389;0,982;-0,009;0,472;0,102;-35,235;0,333;32,451;-1,424;-18,546;-0,806;-0,464;0,423;-33,559;-0,67;27,798;-0,454;-3,467;0,249;-22,777;0,049;10,253;-1,655;266,912;-1,532;136,517;0,072;36,792;-0,188;83,0066;-0,3018;20,0008;0,0181;-5,9986;0,0503;-10,637;0,037
