day;edam_ecne_eplu;edam_ecne_eplu_1d;edam_ecor_emcn;edam_ecor_emcn_1d;edam_emsg_eplu;edam_emsg_eplu_1d;edam_epdn_ecne;edam_epdn_ecne_1d;edam_epdn_emcn;edam_epdn_emcn_1d;eint_ecpn_emgl;eint_ecpn_emgl_1d;eint_esln_emgl;eint_esln_emgl_1d;eint_esln_espc;eint_esln_espc_1d;emeg_ecpn_emgl;emeg_ecpn_emgl_1d;emfn_ecor_ecri;emfn_ecor_ecri_1d;emfn_ecor_emcn;emfn_ecor_emcn_1d;emfn_emcn_epdn;emfn_emcn_epdn_1d;epdn_ecne_ecpn;epdn_ecne_ecpn_1d;epdn_eint_ecpn;epdn_eint_ecpn_1d;epdn_eint_espc;epdn_eint_espc_1d;epdn_emfn_espc;epdn_emfn_espc_1d;eplu_ecne_ecpn;eplu_ecne_ecpn_1d;eplu_emeg_ecpn;eplu_emeg_ecpn_1d;eplu_emeg_emal;eplu_emeg_emal_1d;eplu_emsg_emal;eplu_emsg_emal_1d
10/12/2018;-2,001;-1,587;7,726;-0,138;0,086;-0,181;-100,66;0,263;1,242;-0,399;-0,38;0,025;0,14;-0,083;1,53;0,493;-0,815;0,114;-9,575;0,329;-4,334;-0,024;0,892;-0,163;10,319;0,001;-0,336;-0,149;-1,406;0,621;-0,764;-0,013;-2,493;-1,308;-2,253;0,449;-1,109;0,167;-1,372;0,363
11/12/2018;-3,258;-1,257;7,639;-0,087;-0,183;-0,269;-100,193;0,467;1,34;0,098;-0,382;-0,002;0,423;0,283;2,006;0,476;-0,549;0,266;-9,577;-0,002;-4,347;-0,013;0,987;0,095;10,864;0,545;-0,423;-0,087;-1,005;0,401;-0,782;-0,018;-3,331;-0,838;-1,572;0,681;-1,023;0,086;-1,163;0,209
12/12/2018;-3,551666667;-0,293666667;7,734;0,095;-0,136;0,047;-100,0298333;0,163166667;1,617;0,277;-0,306;0,076;0,451;0,028;2,045;0,039;-0,136;0,413;-9,584;-0,007;-4,593;-0,246;0,825;-0,162;10,91516667;0,051166667;-0,562;-0,139;-0,799;0,206;-1,098;-0,316;-3,569666667;-0,238666667;-0,797;0,775;-0,629;0,394;-0,815;0,348
13/12/2018;-3,845333333;-0,293666667;7,857;0,123;-0,124;0,012;-99,86666667;0,163166667;1,316;-0,301;-0,128;0,178;0,431;-0,02;1,884;-0,161;-0,068;0,068;-9,381;0,203;-4,7;-0,107;0,442;-0,383;10,96633333;0,051166667;-0,512;0,05;-0,866;-0,067;-1,151;-0,053;-3,808333333;-0,238666667;-0,759;0,038;-0,385;0,244;-0,517;0,298
14/12/2018;-4,139;-0,293666667;8,192;0,335;-0,148;-0,024;-99,7035;0,163166667;1,344666667;0,028666667;0,054;0,182;0,525;0,094;1,96;0,076;0,041;0,109;-9,406;-0,025;-4,18;0,52;0,318333333;-0,123666667;11,0175;0,051166667;-0,334333333;0,177666667;-1,056333333;-0,190333333;-1,252666667;-0,101666667;-4,047;-0,238666667;-0,652;0,107;-0,23;0,155;-0,355;0,162
15/12/2018;-4,39;-0,251;8,168;-0,024;-0,17;-0,022;-99,54033333;0,163166667;1,373333333;0,028666667;-0,028;-0,082;0,421;-0,104;1,946;-0,014;0,072;0,031;-9,133;0,273;-4,114;0,066;0,194666667;-0,123666667;11,06866667;0,051166667;-0,156666667;0,177666667;-1,246666667;-0,190333333;-1,354333333;-0,101666667;-4,2995;-0,2525;-0,735;-0,083;-0,189;0,041;-0,294;0,061
16/12/2018;-4,641;-0,251;8,324;0,156;-0,181;-0,011;-99,37716667;0,163166667;1,402;0,028666667;-0,109;-0,081;0,474;0,053;1,513;-0,433;0,021;-0,051;-9,42;-0,287;-4,414;-0,3;0,071;-0,123666667;11,11983333;0,051166667;0,021;0,177666667;-1,437;-0,190333333;-1,456;-0,101666667;-4,552;-0,2525;-0,649;0,086;-0,144;0,045;-0,103;0,191
17/12/2018;-4,892;-0,251;8,623;0,299;-0,3915;-0,2105;-99,214;0,163166667;2,153;0,751;0,037;0,146;0,605;0,131;1,775;0,262;-0,494;-0,515;-9,62;-0,2;-5,1;-0,686;-0,221;-0,292;11,171;0,051166667;0,034;0,013;-0,846;0,591;-1,978;-0,522;-4,8045;-0,2525;-0,9965;-0,3475;0,0895;0,2335;-0,1045;-0,0015
18/12/2018;-5,143;-0,251;8,603;-0,02;-0,602;-0,2105;-98,634;0,58;2,217;0,064;0,028;-0,009;0,732;0,127;1,168;-0,607;-2,205;-1,711;-9,499;0,121;-5,189;-0,089;-0,264;-0,043;11,485;0,314;-0,038;-0,072;-1,206;-0,36;-2,225;-0,247;-5,057;-0,2525;-1,344;-0,3475;0,323;0,2335;-0,106;-0,0015
19/12/2018;-4,64;0,503;8,558;-0,045;-0,447;0,155;-98,81;-0,176;1,83;-0,387;-0,227;-0,255;0,766;0,034;1,224;0,056;-2,104;0,101;-9,197;0,302;-5,008;0,181;-0,257;0,007;11,391;-0,094;0,003;0,041;-1,075;0,131;-1,951;0,274;-4,678;0,379;-1,275;0,069;0,39;0,067;0,075;0,181
20/12/2018;-3,807;0,833;8,784;0,226;-0,38;0,067;-99,226;-0,416;0,543;-1,287;-0,395;-0,168;0,75;-0,016;1,308;0,084;-1,954;0,15;-8,591;0,606;-4,333;0,675;-0,575;-0,318;11,155;-0,236;0,206;0,203;-0,826;0,249;-1,58;0,371;-3,841;0,837;-1,258;0,017;0,407;0,017;0,088;0,013
